osm_building,roof_features,roof_to_osm_area_ratio,match_fraction_min,roof_z_m,roof_z_p75_m,roof_z_max_m,roof_z_spread_max_m,dtm_ground_max_vertex_m,dtm_ground_roof_centroid_m,derived_height_m,derived_height_p75_roof_z_m,derived_height_max_roof_z_m,derived_height_centroid_ground_m,osm_reference_height_m,osm_reference_method,difference_from_osm_m,building_type,building_levels,osm_height_tag,name,footprint_area_m2
way/437142622,1,0.865,0.902,89.662,89.913,93.455,4.539,87.599,86.907,2.063,2.314,5.856,2.754,,,,yes,,,,793.4
way/437142623,1,0.725,0.882,89.939,90.122,91.416,1.933,87.519,87.302,2.421,2.603,3.897,2.637,,,,yes,,,,288.2
way/437674878,1,0.916,1.0,95.292,97.558,98.337,4.22,88.306,88.376,6.986,9.252,10.03,6.917,,,,yes,,,,375.1
way/437674879,3,1.006,0.833,96.674,97.85,98.093,4.865,91.595,91.153,5.079,6.255,6.498,5.521,,,,yes,,,,356.5
way/437674880,1,1.223,0.846,102.309,102.441,104.263,2.018,86.814,86.805,15.496,15.627,17.45,15.504,,,,yes,,,,178.8
way/437674881,1,1.168,1.0,106.341,107.656,107.763,16.406,86.698,86.75,19.643,20.958,21.065,19.591,,,,yes,,,,280.9
way/45486039,1,0.978,1.0,80.128,80.24,80.274,0.398,66.416,64.532,13.713,13.824,13.858,15.596,16.5,levels,-2.787,yes,5,,,398.3
way/45513792,1,0.94,1.0,100.426,101.01,101.595,1.333,80.759,79.303,19.667,20.252,20.836,21.122,,,,yes,,,,939.8
way/45513802,1,1.06,0.756,96.399,96.721,100.848,5.043,83.307,83.003,13.092,13.414,17.541,13.397,10.5,levels,2.592,commercial,3,,,3747.0
way/45513804,1,1.096,0.917,102.912,103.23,104.142,2.466,85.497,85.372,17.415,17.732,18.645,17.54,,,,yes,,,w,1134.9
way/45513805,1,1.05,1.0,100.094,100.735,100.735,0.7,84.578,83.844,15.515,16.157,16.157,16.249,,,,yes,,,,906.7
way/46267243,1,1.099,1.0,100.021,100.042,100.148,0.199,89.269,88.93,10.753,10.773,10.879,11.092,7.5,levels,3.253,yes,2,,Ambasada României,453.9
way/46267244,1,1.0,1.0,105.351,105.523,105.594,0.243,91.366,90.163,13.985,14.157,14.228,15.189,16.5,levels,-2.515,apartments,5,,,687.8
way/46267245,2,1.06,0.913,121.169,121.298,122.729,21.644,90.205,89.875,30.964,31.093,32.524,31.294,,,,yes,,,,1131.4
way/46267255,1,1.065,1.0,94.884,95.103,95.626,1.709,88.35,87.887,6.533,6.753,7.276,6.997,,,,yes,,,,139.4
way/46331596,2,0.095,0.75,89.55,91.84,96.608,14.378,81.321,80.155,8.229,10.52,15.288,9.395,,,,yes,,,,2594.3
way/46331597,1,1.015,1.0,87.031,87.031,87.031,0.195,76.609,75.888,10.422,10.422,10.422,11.143,,,,yes,,,Jazz Hotel,483.6
way/46331598,1,0.936,0.75,90.19,90.288,90.288,0.39,79.03,79.051,11.16,11.258,11.258,11.139,,,,yes,,,,782.2
way/46331599,2,0.959,0.714,85.177,85.177,86.583,1.799,78.645,77.357,6.532,6.532,7.938,7.819,,,,apartments,,,,629.3
way/46331600,1,1.026,1.0,90.857,90.945,91.052,0.39,76.024,75.699,14.833,14.922,15.029,15.158,,,,yes,,,,379.6
way/46331616,2,0.109,1.0,90.789,90.856,106.278,15.49,87.488,87.351,3.301,3.368,18.79,3.438,19.5,levels,-16.199,retail,6,,Casa Presei,2467.5
way/46331617,3,0.973,1.0,103.261,117.109,119.538,5.465,87.615,87.291,15.646,29.494,31.923,15.97,,,,yes,,,,4860.3
way/46331618,2,0.993,0.75,94.008,103.801,106.853,10.535,87.63,87.212,6.378,16.172,19.223,6.796,,,,yes,,,,1370.5
way/463545216,3,0.76,1.0,95.694,96.604,100.692,5.293,93.39,92.271,2.304,3.214,7.301,3.423,,,,yes,,,,390.9
way/463545217,1,0.78,1.0,98.952,98.988,99.199,0.345,93.433,93.052,5.52,5.555,5.766,5.9,,,,yes,,,,143.1
way/463545218,1,0.992,0.75,97.853,98.191,98.201,4.513,91.614,91.313,6.239,6.577,6.587,6.54,,,,yes,,,,186.3
way/463545219,3,0.505,0.833,97.63,100.354,101.058,3.596,94.368,93.812,3.262,5.986,6.69,3.818,,,,yes,,,,602.5
way/46611634,1,1.014,1.0,95.954,96.21,96.381,1.082,85.944,85.264,10.01,10.267,10.438,10.69,,,,yes,,,,588.2
way/46611635,1,0.97,1.0,99.2,99.437,99.457,0.764,85.45,85.177,13.75,13.987,14.007,14.023,,,,yes,,,,231.2
way/46872895,1,1.001,1.0,100.971,101.538,101.726,1.172,87.762,88.291,13.209,13.776,13.964,12.68,,,,yes,,,Centrul de Cultură și Artă „Ginta Latină”,2252.9
way/48197688,1,0.759,1.0,87.459,87.539,87.566,0.243,77.374,77.326,10.085,10.165,10.191,10.132,,,,yes,,,,1275.1
way/48197690,1,1.185,1.0,85.53,85.53,85.786,0.683,78.685,78.405,6.844,6.844,7.101,7.125,10.5,levels,-3.656,commercial,3,,,307.9
way/48197700,1,1.062,1.0,87.093,87.183,87.213,0.122,78.763,78.15,8.331,8.421,8.45,8.943,,,,yes,,,,436.3
way/49069465,1,1.02,1.0,106.145,106.197,107.157,1.238,88.865,88.175,17.28,17.332,18.292,17.97,,,,apartments,,,,1215.7
way/49069467,1,1.052,0.945,100.026,100.107,100.469,5.441,89.469,89.47,10.557,10.638,11.0,10.556,,,,yes,,,Reședința de Stat,949.0
way/49069478,1,1.057,1.0,98.195,98.211,98.269,0.151,88.723,88.54,9.472,9.488,9.547,9.655,10.5,levels,-1.028,yes,3,,,538.2
