osm_building,roof_features,roof_to_osm_area_ratio,match_fraction_min,roof_z_m,roof_z_p75_m,roof_z_max_m,roof_z_spread_max_m,dtm_ground_max_vertex_m,dtm_ground_roof_centroid_m,derived_height_m,derived_height_p75_roof_z_m,derived_height_max_roof_z_m,derived_height_centroid_ground_m,osm_reference_height_m,osm_reference_method,difference_from_osm_m,building_type,building_levels,osm_height_tag,name,footprint_area_m2
way/662299115,1,0.842,1.0,104.074,104.196,104.254,0.599,98.421,98.162,5.653,5.775,5.833,5.912,,,,yes,,,,197.1
way/662299117,1,1.158,0.75,100.522,101.214,102.988,3.547,96.995,96.504,3.528,4.22,5.993,4.019,,,,yes,,,,224.3
way/662299118,1,0.359,1.0,102.729,102.796,102.799,0.144,99.497,99.165,3.232,3.299,3.302,3.564,,,,yes,,,,368.6
way/662299119,1,1.013,0.895,99.853,101.716,101.925,3.079,97.248,96.528,2.604,4.468,4.677,3.325,,,,yes,,,,431.2
way/662299121,1,0.459,1.0,100.753,100.823,100.878,1.631,93.837,93.197,6.916,6.986,7.041,7.556,,,,yes,,,,209.8
way/662299123,1,0.248,1.0,101.599,101.976,102.098,0.579,97.035,96.522,4.564,4.941,5.063,5.077,,,,yes,,,,125.8
way/662299357,1,0.821,1.0,92.113,92.374,92.456,0.633,88.755,88.659,3.358,3.618,3.701,3.455,,,,yes,,,,113.3
way/662355747,2,0.88,1.0,96.406,99.571,99.637,0.435,92.527,91.843,3.879,7.044,7.11,4.563,,,,yes,,,,258.7
way/662355748,1,1.016,0.71,96.68,98.212,99.016,3.638,93.294,92.793,3.386,4.917,5.722,3.887,,,,yes,,,,420.6
way/662355751,1,1.312,0.722,92.962,93.102,93.44,0.92,90.468,90.326,2.494,2.634,2.971,2.636,,,,yes,,,,328.6
way/662355754,1,0.541,1.0,106.824,107.088,107.143,2.256,100.732,100.393,6.092,6.356,6.411,6.431,,,,yes,,,,87.7
way/662355755,1,0.753,1.0,107.494,107.634,108.082,0.587,104.623,104.134,2.872,3.012,3.459,3.361,,,,yes,,,,444.5
way/662355758,2,0.332,1.0,104.961,107.127,108.04,4.59,102.473,100.841,2.488,4.654,5.567,4.12,,,,yes,,,,922.0
way/662355769,1,1.112,0.714,103.04,103.19,103.616,1.274,99.678,99.198,3.362,3.511,3.938,3.842,,,,yes,,,,172.2
way/662355770,1,1.655,0.769,103.842,104.139,104.717,1.359,99.793,99.615,4.048,4.346,4.924,4.226,,,,yes,,,,104.9
way/662355771,1,1.004,0.862,105.338,105.944,106.828,2.703,102.474,101.959,2.865,3.47,4.355,3.379,,,,yes,,,,795.2
way/662355772,1,0.932,1.0,106.699,106.73,106.753,0.392,100.651,99.988,6.048,6.079,6.102,6.711,,,,yes,,,,194.2
way/662355773,2,0.814,1.0,106.052,106.166,106.763,0.774,100.904,100.54,5.148,5.262,5.859,5.512,,,,yes,,,,185.3
way/662355775,1,1.104,1.0,103.506,103.673,103.682,0.593,101.096,100.736,2.409,2.577,2.586,2.769,,,,yes,,,,41.9
way/662356301,2,1.026,0.933,90.034,92.325,92.528,1.177,87.269,86.908,2.765,5.056,5.259,3.126,,,,yes,,,,248.9
way/662356302,1,1.076,1.0,91.82,91.948,92.003,0.657,87.037,86.971,4.783,4.911,4.966,4.849,,,,yes,,,,82.0
way/662357774,1,0.914,1.0,106.314,106.419,106.554,0.825,102.499,102.033,3.815,3.921,4.055,4.281,,,,yes,,,,198.5
way/662357777,1,1.194,0.8,105.434,106.516,107.243,4.365,100.057,99.436,5.377,6.459,7.186,5.998,,,,yes,,,,264.7
way/662358324,1,1.256,0.75,101.435,101.453,101.505,0.657,93.893,93.381,7.542,7.56,7.612,8.053,,,,yes,,,,146.1
way/662358758,1,1.259,0.8,90.614,91.051,92.105,2.049,86.045,85.993,4.569,5.006,6.06,4.621,,,,yes,,,,68.7
way/662358759,1,1.096,0.818,90.854,91.449,92.42,2.466,86.6,86.455,4.254,4.849,5.82,4.398,,,,yes,,,,180.7
way/662358760,1,1.049,1.0,89.491,89.629,89.629,0.545,85.983,85.849,3.508,3.646,3.646,3.642,,,,yes,,,,74.9
way/662431726,1,0.619,1.0,99.451,99.511,99.929,2.159,96.083,95.097,3.368,3.428,3.846,4.353,,,,yes,,,,247.4
way/662431730,1,1.405,0.727,95.874,96.819,99.17,4.166,92.951,92.635,2.923,3.869,6.219,3.239,,,,yes,,,,165.0
way/662431739,1,0.837,1.0,95.321,95.371,96.455,1.544,91.165,90.872,4.156,4.206,5.289,4.449,,,,yes,,,,273.9
way/662431740,1,0.386,1.0,95.29,96.622,97.582,4.371,90.761,90.286,4.529,5.861,6.821,5.004,,,,yes,,,,369.5
way/662431746,1,1.041,1.0,97.375,98.102,101.261,5.79,91.181,90.739,6.194,6.921,10.08,6.635,,,,yes,,,,406.5
way/662431748,1,0.597,1.0,93.436,94.922,95.621,2.731,90.227,90.225,3.209,4.694,5.393,3.211,,,,yes,,,,124.0
way/662431752,1,0.867,0.9,94.98,95.38,95.48,0.839,89.547,89.4,5.433,5.833,5.934,5.58,,,,yes,,,,186.7
way/662431753,1,0.739,0.938,94.447,96.328,96.685,4.065,89.943,89.779,4.504,6.385,6.742,4.668,,,,yes,,,,297.3
way/662431755,2,0.683,1.0,97.103,98.046,98.222,1.638,94.11,93.231,2.992,3.936,4.112,3.871,,,,yes,,,,452.1
way/662431756,1,0.989,0.941,102.759,102.964,103.293,1.646,97.946,97.509,4.813,5.018,5.347,5.25,,,,yes,,,,317.3
way/662431758,1,1.068,1.0,100.305,100.665,100.972,0.748,94.355,94.269,5.95,6.309,6.616,6.037,,,,yes,,,,106.0
way/662431761,1,1.141,0.778,99.799,102.098,102.356,3.106,96.625,96.303,3.173,5.473,5.73,3.495,,,,yes,,,,124.1
way/662434611,4,0.9,1.0,95.824,96.786,96.912,1.122,91.115,90.732,4.709,5.671,5.797,5.093,,,,yes,,,,324.0
way/662434613,1,0.437,1.0,95.682,97.73,97.943,2.562,88.268,88.04,7.414,9.461,9.675,7.642,,,,yes,,,,360.9
way/662434614,1,0.293,1.0,97.596,97.703,98.143,0.872,88.569,88.29,9.027,9.134,9.574,9.306,,,,yes,,,,350.1
way/662434615,1,1.033,1.0,94.865,94.868,94.868,0.304,89.714,89.427,5.15,5.153,5.153,5.437,,,,yes,,,,128.1
way/662434617,1,1.06,0.853,91.579,92.313,93.648,3.157,89.136,88.749,2.444,3.177,4.512,2.831,,,,yes,,,,689.7
way/662434620,1,1.282,0.75,92.157,92.194,92.235,0.271,89.386,89.308,2.771,2.808,2.849,2.848,,,,yes,,,,79.7
way/662434994,1,1.804,0.75,90.387,91.398,91.956,2.944,86.351,85.998,4.035,5.047,5.605,4.389,,,,yes,,,,227.2
way/662434996,1,0.928,1.0,91.703,93.149,93.797,3.839,86.945,86.701,4.758,6.204,6.852,5.002,,,,yes,,,,208.0
way/662462760,1,0.866,1.0,97.165,97.552,97.588,0.475,87.986,87.694,9.179,9.566,9.602,9.471,,,,yes,,,,157.7
way/662462762,1,0.434,1.0,94.023,95.098,95.132,2.605,90.671,90.358,3.352,4.427,4.46,3.665,,,,yes,,,,159.0
way/662469326,1,0.845,1.0,95.781,95.814,95.938,0.372,81.477,80.08,14.304,14.337,14.461,15.701,,,,yes,,,,414.3
way/662469328,1,1.221,0.833,90.811,91.646,93.609,3.281,81.923,82.019,8.887,9.722,11.686,8.791,,,,yes,,,,1284.2
way/662469330,2,0.852,1.0,85.802,86.011,86.858,2.178,82.369,82.05,3.433,3.642,4.489,3.753,,,,yes,,,,369.5
way/662469331,1,1.087,0.9,86.205,87.053,88.625,4.266,82.201,82.183,4.004,4.852,6.424,4.022,,,,yes,,,,367.9
way/662469333,1,0.979,1.0,85.918,86.583,86.583,1.148,80.867,79.1,5.051,5.717,5.717,6.818,,,,yes,,,,300.8
way/662469336,2,1.03,0.875,93.961,94.565,97.377,7.246,87.723,87.488,6.238,6.842,9.654,6.473,,,,yes,,,,383.0
way/662469990,1,0.999,1.0,79.495,79.979,81.328,4.541,74.349,73.75,5.146,5.63,6.979,5.746,,,,yes,,,,609.9
way/662487482,1,0.884,1.0,93.062,94.484,95.948,3.743,90.351,89.8,2.711,4.134,5.597,3.262,,,,yes,,,,463.4
way/662487485,1,1.456,0.75,94.762,94.801,94.926,2.511,89.945,89.717,4.817,4.856,4.981,5.045,,,,yes,,,,143.8
way/662488481,1,0.807,1.0,101.178,101.527,101.947,1.746,99.053,98.083,2.124,2.473,2.894,3.095,,,,yes,,,,285.6
way/662488486,1,1.053,1.0,109.358,109.362,109.531,1.492,100.67,100.376,8.688,8.692,8.861,8.982,,,,yes,,,,120.9
way/662510776,1,0.772,1.0,99.958,100.067,100.419,0.663,95.552,95.272,4.405,4.515,4.867,4.686,,,,yes,,,,250.2
way/662510778,1,0.925,1.0,102.812,102.85,102.927,0.293,95.08,94.699,7.732,7.77,7.847,8.114,,,,yes,,,,186.2
way/662510781,1,0.354,1.0,97.527,97.646,99.699,2.925,94.429,93.895,3.097,3.217,5.27,3.632,,,,yes,,,,196.1
way/662510852,1,0.889,1.0,101.019,101.727,102.039,4.277,95.129,94.929,5.89,6.598,6.91,6.09,,,,yes,,,,119.4
way/662511847,1,0.875,1.0,108.949,109.025,109.026,1.851,101.995,101.729,6.954,7.03,7.031,7.22,,,,yes,,,,92.7
way/662511848,1,1.328,0.867,106.643,106.852,107.564,2.126,103.368,102.865,3.275,3.484,4.196,3.778,,,,yes,,,,199.4
way/662511849,1,0.832,1.0,111.501,111.731,112.518,1.315,103.044,102.827,8.458,8.687,9.474,8.674,,,,yes,,,,141.4
way/662511852,2,1.384,0.857,109.539,110.045,112.494,4.617,102.975,102.733,6.564,7.071,9.519,6.806,,,,yes,,,,143.0
way/662512116,1,1.437,0.714,102.344,102.919,105.123,4.761,98.672,97.708,3.672,4.247,6.451,4.636,,,,yes,,,,477.4
way/662512118,1,0.864,1.0,104.009,104.094,104.094,0.384,97.229,96.521,6.779,6.865,6.865,7.488,,,,yes,,,,277.7
way/662512454,1,0.855,1.0,99.613,99.759,99.765,0.282,94.744,94.691,4.869,5.015,5.021,4.922,,,,yes,,,,121.1
way/662512455,1,0.332,0.857,99.05,99.292,99.385,0.424,96.962,96.325,2.088,2.33,2.422,2.725,,,,yes,,,,201.5
way/662512456,1,0.172,1.0,100.248,100.495,100.577,0.339,95.568,95.204,4.68,4.927,5.01,5.044,,,,yes,,,,107.3
way/662512457,1,1.089,1.0,97.711,97.851,98.042,0.576,95.333,94.843,2.378,2.517,2.709,2.869,,,,yes,,,,101.0
way/662512459,1,1.118,0.857,105.156,105.767,105.84,2.054,100.643,100.108,4.513,5.124,5.197,5.048,,,,yes,,,,125.0
way/662512460,1,0.987,0.75,105.134,105.427,105.428,0.294,99.34,98.975,5.795,6.087,6.088,6.159,,,,yes,,,,93.2
way/662512716,1,0.926,1.0,104.206,104.206,104.206,0.293,102.121,101.673,2.085,2.085,2.085,2.533,,,,yes,,,,143.8
way/662513216,2,1.047,0.895,107.201,108.417,109.844,3.231,104.986,104.43,2.215,3.432,4.859,2.77,,,,yes,,,,481.8
way/662513781,1,1.149,1.0,96.139,96.166,99.128,3.953,91.638,91.548,4.501,4.529,7.49,4.591,,,,yes,,,,116.6
way/662652642,1,0.446,1.0,91.926,92.67,94.468,3.691,86.477,86.256,5.449,6.192,7.991,5.67,,,,yes,,,,425.5
way/662652643,1,0.608,1.0,91.001,91.3,91.3,0.781,86.011,85.855,4.989,5.289,5.289,5.146,,,,yes,,,,106.9
way/662744713,2,0.848,1.0,113.403,115.19,115.893,2.831,105.243,104.365,8.16,9.947,10.65,9.038,,,,yes,,,,249.4
way/662744714,1,0.965,0.833,116.627,116.627,116.919,0.293,104.687,104.405,11.94,11.94,12.232,12.222,,,,yes,,,,115.6
way/662745024,1,0.952,1.0,112.057,112.886,113.617,1.657,104.86,104.449,7.197,8.026,8.757,7.608,,,,yes,,,,151.7
way/662745029,1,0.97,0.917,111.742,113.694,113.889,2.928,107.521,107.431,4.221,6.173,6.368,4.311,,,,yes,,,,247.3
way/662969562,1,0.805,1.0,111.2,111.949,112.084,1.178,106.161,105.622,5.04,5.789,5.923,5.579,,,,yes,,,,195.5
way/662969563,1,0.884,1.0,110.778,110.876,110.876,0.098,107.533,107.356,3.245,3.343,3.343,3.422,,,,yes,,,,159.0
way/662969564,1,1.056,1.0,113.57,113.671,113.766,0.589,107.646,107.63,5.924,6.025,6.12,5.94,,,,yes,,,,215.6
way/662969565,1,1.037,1.0,114.55,114.55,114.746,0.393,107.444,107.117,7.106,7.106,7.302,7.433,,,,yes,,,,115.4
way/662969566,1,1.235,0.778,114.058,114.329,115.434,2.161,107.534,107.323,6.524,6.794,7.899,6.735,,,,yes,,,,195.4
way/662969568,2,1.006,1.0,110.544,110.612,111.102,0.589,105.814,105.41,4.73,4.798,5.288,5.134,,,,yes,,,,262.9
way/662969569,1,0.933,1.0,110.19,110.21,110.412,0.976,107.527,107.236,2.663,2.683,2.885,2.954,,,,yes,,,,234.1
way/663098491,1,0.938,0.875,99.302,102.38,102.573,3.403,91.718,91.63,7.584,10.662,10.854,7.673,,,,yes,,,,99.7
way/663098492,1,1.232,0.875,95.821,96.739,97.155,1.634,91.99,91.718,3.831,4.749,5.165,4.104,,,,yes,,,,109.4
way/663098493,1,1.355,0.75,94.097,94.287,94.383,1.702,90.168,90.137,3.929,4.119,4.214,3.96,,,,yes,,,,79.9
way/663098496,1,0.653,0.812,100.486,100.719,100.976,1.489,97.947,97.526,2.539,2.772,3.029,2.96,,,,yes,,,,338.1
way/663098497,1,0.916,0.875,104.713,106.864,107.368,6.14,99.356,98.719,5.357,7.508,8.012,5.994,,,,yes,,,,343.0
way/663099400,1,0.674,0.941,101.502,103.196,103.381,3.97,97.352,96.695,4.15,5.844,6.029,4.808,,,,yes,,,,303.1
way/663109991,1,1.056,1.0,94.046,94.122,94.331,2.537,86.065,84.696,7.981,8.057,8.266,9.349,,,,yes,,,,378.7
way/663165926,1,1.123,0.733,97.438,97.743,99.37,2.353,94.748,94.506,2.69,2.995,4.622,2.932,,,,yes,,,,197.9
way/663165927,1,1.492,0.8,100.305,100.409,100.556,2.003,94.26,94.184,6.045,6.149,6.296,6.121,,,,yes,,,,82.9
way/663165930,1,0.326,1.0,102.103,102.366,102.388,3.226,94.786,94.006,7.317,7.579,7.602,8.097,,,,garages,,,,315.6
way/663165931,1,0.265,1.0,98.614,98.67,98.771,0.388,93.321,92.769,5.293,5.349,5.45,5.845,,,,yes,,,,294.8
way/663166557,1,0.771,0.846,96.745,98.422,99.835,4.56,92.881,92.695,3.865,5.541,6.954,4.051,,,,yes,,,,252.0
way/663166559,1,1.06,0.889,97.912,97.988,97.999,0.243,91.821,91.466,6.091,6.168,6.178,6.445,,,,yes,,,,126.5
way/663167344,1,1.061,1.0,92.514,92.647,92.686,0.669,85.705,85.664,6.809,6.943,6.981,6.85,,,,yes,,,,142.3
way/663167345,3,1.017,0.75,92.929,93.585,95.195,2.635,88.536,88.296,4.393,5.049,6.66,4.633,,,,yes,,,,305.9
way/663188908,1,0.867,1.0,108.86,109.153,111.303,4.006,103.884,103.889,4.976,5.269,7.419,4.971,,,,yes,,,,330.6
way/663188910,1,0.938,1.0,108.158,108.158,108.256,0.098,105.717,105.393,2.442,2.442,2.54,2.765,,,,yes,,,,172.2
way/663542279,1,0.978,1.0,70.169,71.669,71.682,1.695,67.833,67.477,2.337,3.836,3.849,2.692,,,,yes,,,,121.1
way/663542280,1,0.975,1.0,71.075,71.433,71.549,0.484,67.325,66.536,3.75,4.108,4.224,4.539,,,,yes,,,,258.3
way/663543227,1,0.902,1.0,102.123,103.637,105.391,7.206,85.563,85.568,16.561,18.075,19.828,16.555,,,,yes,,,,393.6
way/663543228,1,0.39,0.75,86.131,88.579,89.872,5.884,82.01,81.984,4.121,6.569,7.862,4.147,,,,yes,,,,365.0
way/663543229,1,1.198,0.824,86.528,87.988,89.25,3.768,81.864,81.465,4.664,6.124,7.386,5.063,,,,yes,,,,304.9
way/664859511,1,0.467,1.0,97.257,99.387,99.437,3.549,91.783,91.718,5.474,7.604,7.654,5.539,,,,yes,,,,176.9
way/664861326,2,1.14,0.857,79.696,80.304,81.016,2.315,73.738,72.893,5.958,6.566,7.279,6.803,,,,yes,,,,228.9
way/664861328,1,1.19,0.7,76.765,76.834,76.971,0.856,73.575,72.731,3.19,3.259,3.396,4.035,,,,yes,,,,187.6
way/669569939,1,0.577,0.778,81.157,81.295,81.446,1.352,75.061,74.12,6.095,6.233,6.384,7.037,,,,yes,,,,347.5
way/669569942,1,0.889,1.0,83.351,83.405,83.509,2.042,75.994,75.66,7.357,7.411,7.515,7.691,,,,yes,,,,143.2
way/669569950,1,1.079,0.75,75.562,76.114,76.631,1.703,70.6,70.169,4.963,5.515,6.032,5.394,,,,yes,,,,183.1
way/669570552,1,1.002,1.0,86.997,87.049,87.049,0.124,78.475,78.29,8.522,8.575,8.575,8.707,,,,yes,,,,72.3
way/669570553,1,0.918,0.833,76.881,77.121,77.361,0.899,72.523,72.017,4.358,4.598,4.838,4.863,,,,yes,,,,148.9
way/669570782,1,1.024,0.778,77.247,77.697,77.8,2.684,73.336,72.439,3.911,4.361,4.465,4.808,,,,yes,,,,319.1
way/669570784,1,1.858,0.769,76.562,77.628,78.283,4.88,67.884,67.464,8.678,9.745,10.4,9.098,,,,yes,,,,133.3
way/669570785,2,0.885,0.909,73.585,73.943,76.512,4.37,71.409,70.015,2.176,2.534,5.103,3.57,,,,yes,,,,471.9
way/669571091,1,0.863,1.0,95.789,95.801,95.804,0.028,88.337,88.25,7.452,7.464,7.467,7.539,,,,yes,,,,183.7
way/670512574,1,0.144,1.0,85.108,85.18,85.18,0.16,82.266,81.768,2.842,2.914,2.914,3.34,,,,yes,,,,807.8
way/670704621,1,0.824,0.875,90.552,90.695,90.949,0.668,87.955,87.915,2.597,2.74,2.994,2.638,,,,yes,,,,220.8
way/670705768,3,0.733,1.0,93.244,93.793,93.982,2.139,88.224,88.164,5.019,5.569,5.758,5.079,,,,yes,,,,317.9
way/670705769,1,1.073,0.762,90.521,90.891,92.309,2.149,88.146,87.935,2.375,2.745,4.163,2.586,,,,yes,,,,231.7
way/670706637,1,1.115,0.818,108.556,108.801,108.801,2.055,104.455,103.868,4.101,4.346,4.346,4.689,,,,yes,,,,137.8
way/670706640,1,0.951,1.0,108.196,109.864,111.143,2.947,102.912,102.499,5.284,6.952,8.231,5.697,,,,yes,,,,246.2
way/670706641,1,0.609,1.0,110.315,111.4,111.915,2.23,107.631,107.413,2.684,3.768,4.284,2.902,,,,yes,,,,233.8
way/670746710,1,1.125,0.923,80.385,80.444,80.481,0.98,73.435,72.903,6.95,7.009,7.046,7.481,,,,yes,,,,282.6
way/670746711,1,0.96,0.833,77.521,77.619,78.012,1.08,73.878,73.512,3.643,3.741,4.134,4.009,,,,yes,,,,344.9
way/670746712,3,1.147,0.846,77.368,78.573,78.711,2.454,72.761,72.46,4.607,5.813,5.95,4.908,,,,yes,,,,177.4
way/670747613,1,0.841,1.0,83.952,83.952,83.952,0.0,73.946,73.314,10.006,10.006,10.006,10.638,,,,yes,,,,571.8
way/670747617,1,1.028,0.75,86.211,86.309,86.42,0.281,73.946,73.601,12.265,12.363,12.474,12.61,,,,yes,,,,214.7
way/670747621,1,0.773,1.0,78.981,79.754,80.073,1.766,73.52,72.864,5.461,6.234,6.553,6.117,,,,yes,,,,348.6
way/670748122,1,0.687,1.0,81.699,81.701,81.701,0.294,74.368,74.127,7.331,7.333,7.333,7.572,,,,yes,,,,180.0
way/670748124,1,0.887,1.0,75.636,75.734,76.618,1.08,71.687,71.498,3.949,4.047,4.931,4.138,,,,yes,,,,191.5
way/676107713,1,1.104,1.0,77.449,77.452,77.452,0.098,73.277,72.046,4.172,4.174,4.175,5.403,,,,yes,,,,145.6
way/67799184,1,1.008,1.0,93.433,94.051,94.402,1.193,86.76,86.147,6.673,7.291,7.642,7.286,,,,yes,,,,307.9
way/67799189,1,0.988,1.0,97.588,97.718,97.718,0.215,85.882,84.922,11.707,11.837,11.837,12.667,,,,yes,,,,550.9
way/67799190,1,1.022,1.0,85.89,85.89,85.89,0.196,74.686,74.559,11.204,11.204,11.204,11.332,,,,yes,,,Lukoil Moldova,204.1
way/67799194,1,1.043,0.894,95.849,96.592,101.074,7.238,85.752,84.96,10.097,10.84,15.322,10.888,10.5,levels,-0.403,yes,3,,Ministerul Afacerilor Interne,3301.3
way/67803010,1,1.098,1.0,92.329,92.525,92.525,0.486,81.845,81.072,10.484,10.68,10.68,11.257,12.0,levels,-1.516,retail,3,,,490.7
way/67803015,1,1.031,0.9,103.933,104.052,104.124,1.115,87.356,87.078,16.578,16.696,16.768,16.856,,,,yes,,,,500.3
way/67803023,1,0.374,1.0,94.14,94.332,94.387,0.733,86.105,85.988,8.035,8.227,8.282,8.152,,,,school,,,,1669.1
way/67803027,1,1.072,1.0,100.987,102.551,103.48,4.998,83.071,82.962,17.917,19.48,20.409,18.026,16.5,levels,1.417,yes,5,,,2750.9
way/67803029,1,1.09,1.0,92.029,92.065,92.105,0.253,80.638,80.116,11.391,11.427,11.467,11.913,,,,government,,,,573.0
way/67803030,1,1.166,1.0,87.96,90.745,90.846,3.365,78.982,78.661,8.978,11.764,11.864,9.299,10.5,levels,-1.522,retail,3,,,847.5
way/67803034,1,0.971,1.0,97.088,97.133,97.231,0.182,85.355,85.241,11.732,11.778,11.875,11.847,,,,yes,,,,828.2
way/67803035,2,0.172,0.714,89.507,93.609,95.305,8.644,85.058,84.435,4.45,8.551,10.248,5.073,7.5,levels,-3.05,yes,2,,,2049.5
way/67804502,1,1.011,1.0,97.183,98.321,98.786,2.82,83.847,83.074,13.336,14.474,14.939,14.109,,,,commercial,,,SG Business Center,758.6
way/67804510,1,1.04,1.0,81.861,110.935,111.218,29.846,76.99,77.042,4.871,33.945,34.228,4.819,25.5,levels,-20.629,yes,8,,,743.9
way/67804516,1,1.28,0.824,94.99,96.273,96.719,1.91,78.759,78.439,16.231,17.513,17.96,16.551,,,,yes,,,,943.0
way/67804522,1,1.099,0.727,96.612,111.693,112.004,30.011,77.259,76.015,19.352,34.434,34.744,20.597,28.5,levels,-9.148,office,9,,IPTEH,1350.7
way/678836395,1,0.825,1.0,81.522,85.189,85.756,5.808,76.075,75.675,5.446,9.113,9.681,5.847,,,,yes,,,,394.9
way/68031766,1,1.002,1.0,109.023,109.023,109.023,0.583,102.883,102.807,6.14,6.14,6.14,6.216,,,,yes,,,PD-15,230.4
way/68031767,2,0.977,1.0,125.006,125.196,125.2,1.926,107.74,105.746,17.267,17.456,17.46,19.26,13.5,levels,3.767,university,4,,Blocul 4 - USM,4438.8
way/68031778,1,1.002,1.0,112.904,113.194,114.162,1.548,103.02,102.826,9.884,10.174,11.142,10.078,7.5,levels,2.384,university,2,,Blocul 1 - USM,2475.1
way/68031783,1,0.996,1.0,122.593,122.593,122.883,0.964,101.306,101.058,21.287,21.287,21.576,21.535,16.5,levels,4.787,university,5,,Blocul 3 - USM,2027.0
way/68031785,1,1.008,1.0,108.341,108.501,108.501,0.387,102.325,101.943,6.015,6.176,6.176,6.398,,,,yes,,,Tipografie,283.3
way/68031792,1,0.992,1.0,113.581,113.775,113.775,0.193,105.425,105.091,8.156,8.349,8.349,8.49,,,,yes,,,Cazangerie,266.3
way/687368428,1,0.879,1.0,78.066,78.292,79.078,2.65,63.577,63.304,14.489,14.715,15.501,14.762,,,,yes,,,,382.6
way/687368439,1,1.17,1.0,64.004,65.478,66.143,2.893,61.021,60.55,2.984,4.457,5.122,3.455,,,,yes,,,,137.4
way/689617515,1,1.073,1.0,59.064,59.312,59.339,1.082,55.143,54.767,3.921,4.169,4.196,4.297,,,,yes,,,,186.1
way/689623072,1,1.046,0.846,77.58,78.364,79.2,2.36,74.901,74.577,2.679,3.464,4.299,3.003,,,,yes,,,,167.0
way/689623073,1,1.089,1.0,74.682,75.535,75.819,1.237,70.528,69.476,4.153,5.007,5.291,5.206,,,,yes,,,,293.6
way/689623074,1,0.958,1.0,81.912,81.934,82.546,1.408,69.88,69.354,12.032,12.054,12.666,12.558,,,,yes,,,,363.1
way/692797290,1,0.954,0.778,95.782,95.925,96.083,1.982,90.538,90.227,5.244,5.386,5.544,5.555,,,,yes,,,,137.8
way/692797291,1,0.639,1.0,93.833,94.545,94.612,2.299,90.875,89.863,2.958,3.67,3.738,3.97,,,,yes,,,,228.8
way/692797292,1,1.476,0.75,95.546,95.619,95.685,0.263,89.562,89.192,5.984,6.057,6.123,6.354,,,,yes,,,,61.0
way/692798829,5,1.065,0.727,92.145,93.036,94.518,2.221,87.077,86.579,5.068,5.959,7.441,5.566,,,,yes,,,,757.1
way/692817092,1,1.054,0.75,90.834,90.899,90.923,0.955,87.621,87.558,3.212,3.278,3.302,3.276,,,,yes,,,,149.1
way/696606992,3,1.044,0.778,76.338,76.534,77.615,1.473,74.115,73.419,2.223,2.419,3.5,2.919,,,,yes,,,,988.9
way/696606994,1,1.013,1.0,84.017,84.112,84.213,0.49,74.26,73.614,9.756,9.851,9.952,10.403,,,,yes,,,,518.6
way/696606995,1,0.958,1.0,74.952,75.005,75.05,0.295,72.016,71.401,2.936,2.989,3.034,3.551,,,,yes,,,,68.3
way/696606996,2,0.93,1.0,77.713,78.794,79.088,0.982,74.217,74.235,3.496,4.577,4.871,3.479,,,,yes,,,,83.0
way/696653311,1,0.94,0.789,75.21,75.554,76.681,2.021,72.757,72.125,2.453,2.797,3.924,3.085,,,,yes,,,,325.0
way/696653316,1,0.471,1.0,76.268,76.563,76.669,1.534,73.842,72.603,2.427,2.721,2.827,3.666,,,,yes,,,,437.4
way/696653317,1,0.933,0.857,79.229,80.924,81.447,3.598,75.292,74.906,3.937,5.631,6.155,4.323,,,,yes,,,,394.6
way/696653321,1,0.075,1.0,80.403,80.806,81.191,0.935,77.466,77.185,2.938,3.34,3.725,3.218,,,,yes,,,,319.2
way/696656203,1,0.785,1.0,79.723,79.726,79.728,0.047,73.736,73.288,5.987,5.99,5.992,6.434,,,,yes,,,,125.0
way/696834040,1,0.952,1.0,65.797,65.954,66.093,0.789,63.156,62.454,2.641,2.799,2.937,3.343,,,,yes,,,,225.0
way/696834049,1,0.795,1.0,90.121,91.88,92.076,3.713,73.288,72.619,16.833,18.592,18.788,17.503,,,,yes,,,,497.9
way/696834711,1,1.045,0.8,77.32,78.287,78.581,1.57,74.237,74.073,3.083,4.05,4.344,3.247,,,,yes,,,,174.6
way/696834714,1,0.966,0.929,85.891,86.088,86.312,4.086,80.498,79.868,5.392,5.589,5.814,6.022,,,,yes,,,,406.4
way/696834716,1,1.069,1.0,86.078,86.163,86.163,2.249,81.09,80.713,4.989,5.073,5.073,5.366,,,,yes,,,,111.0
way/696834717,2,1.111,1.0,83.515,84.85,84.961,0.119,79.625,79.362,3.89,5.225,5.336,4.153,,,,yes,,,,73.8
way/696838528,1,0.938,0.917,70.519,71.307,71.996,2.167,67.886,67.463,2.633,3.421,4.11,3.056,,,,yes,,,,300.2
way/696838529,1,0.849,0.875,74.173,76.026,76.532,3.146,69.444,68.938,4.729,6.582,7.089,5.235,,,,yes,,,,244.3
way/696838531,1,0.238,0.778,71.499,71.499,71.499,0.0,68.439,67.601,3.06,3.06,3.06,3.898,,,,yes,,,,144.6
way/696838532,2,1.004,1.0,74.007,74.477,74.968,1.08,67.783,67.697,6.224,6.694,7.185,6.31,,,,yes,,,,286.0
way/696838533,1,1.042,1.0,70.437,70.634,71.225,0.984,66.864,66.474,3.573,3.77,4.361,3.963,,,,yes,,,,182.8
way/696838534,1,1.079,0.833,74.419,74.714,74.812,0.885,69.674,69.394,4.745,5.04,5.139,5.025,,,,yes,,,,166.7
